Univercity Name,GRE Score,SOP,LOR ,CGPA,Research,Chance of Admit 
Cabrini,337,4.5,4.5,9.65,1,0.92
Cabrini,324,4,4.5,8.87,1,0.76
Beaver,316,3,3.5,8,1,0.72
Beaver,322,3.5,2.5,8.67,1,0.8
Albany,314,2,3,8.21,0,0.65
Maryland,330,4.5,3,9.34,1,0.9
Beaver,321,3,4,8.2,1,0.75
Albany,308,3,4,7.9,0,0.68
Alaska Methodist University,302,2,1.5,8,0,0.5
Beaver,323,3.5,3,8.6,0,0.45
Beaver,325,3.5,4,8.4,1,0.52
Cabrini,327,4,4.5,9,1,0.84
Cabrini,328,4,4.5,9.1,1,0.78
Beaver,307,4,3,8,1,0.62
Beaver,311,3.5,2,8.2,1,0.61
Beaver,314,3.5,2.5,8.3,0,0.54
Beaver,317,4,3,8.7,0,0.66
Beaver,319,4,3,8,1,0.65
Beaver,318,4,3,8.8,0,0.63
Beaver,303,3.5,3,8.5,0,0.62
Beaver,312,3,2,7.9,1,0.64
Cabrini,325,3,2,8.4,0,0.7
Maryland,328,5,5,9.5,1,0.94
Maryland,334,5,4.5,9.7,1,0.95
Maryland,336,4,3.5,9.8,1,0.97
Maryland,340,4.5,4.5,9.6,1,0.94
Maryland,322,4.5,3.5,8.8,0,0.76
Albany,298,1.5,2.5,7.5,1,0.44
Alaska Methodist University,295,2,2,7.2,0,0.46
Albany,310,1.5,2,7.3,0,0.54
Albany,300,3,3,8.1,1,0.65
Beaver,327,4,4,8.3,1,0.74
Cabrini,338,3,4.5,9.4,1,0.91
Maryland,340,4,4,9.6,1,0.9
Maryland,331,4,5,9.8,1,0.94
Maryland,320,5,5,9.2,1,0.88
Albany,299,4,4,8.4,0,0.64
Alaska Methodist University,300,1,2,7.8,0,0.58
Alaska Methodist University,304,3,1.5,7.5,0,0.52
Albany,307,4,3.5,7.7,0,0.48
Beaver,308,3.5,3,8,1,0.46
Albany,316,2.5,2.5,8.2,1,0.49
Albany,313,2.5,2,8.5,1,0.53
Cabrini,332,4.5,4,9.1,0,0.87
Maryland,326,4.5,4,9.4,1,0.91
Maryland,322,5,4,9.1,1,0.88
Maryland,329,4,5,9.3,1,0.86
Maryland,339,4.5,4,9.7,0,0.89
Beaver,321,3.5,5,8.85,1,0.82
Cabrini,327,3,4,8.4,1,0.78
Beaver,313,2.5,4.5,8.3,1,0.76
Albany,312,1.5,3.5,7.9,1,0.56
Cabrini,334,4,3,8,1,0.78
Cabrini,324,4,2.5,8.1,1,0.72
Beaver,322,3,3.5,8,0,0.7
Beaver,320,3,3,7.7,0,0.64
Beaver,316,2,3,7.4,0,0.64
Albany,298,4,2,7.6,0,0.46
Alaska Methodist University,300,3,2,6.8,1,0.36
Albany,311,2,2,8.3,0,0.42
Albany,309,3,3,8.1,0,0.48
Beaver,307,4,3,8.2,0,0.47
Albany,304,3,3,8.2,1,0.54
Albany,315,4,3,8.5,1,0.56
Beaver,325,3,3.5,8.7,0,0.52
Cabrini,325,3.5,3.5,8.92,0,0.55
Beaver,327,3,3,9.02,0,0.61
Albany,316,3.5,3.5,8.64,1,0.57
Beaver,318,3.5,4,9.22,1,0.68
Cabrini,328,4.5,4,9.16,1,0.78
Maryland,332,5,5,9.64,1,0.94
Maryland,336,5,5,9.76,1,0.96
Maryland,321,5,5,9.45,1,0.93
Cabrini,314,4.5,4,9.04,1,0.84
Beaver,314,3,5,8.9,0,0.74
Albany,329,2,4,8.56,1,0.72
Beaver,327,3,3,8.72,1,0.74
Albany,301,3,2,8.22,0,0.64
Albany,296,3,2,7.54,1,0.44
Alaska Methodist University,294,1.5,2,7.36,0,0.46
Beaver,312,2,3,8.02,1,0.5
Cabrini,340,5,5,9.5,1,0.96
Maryland,320,5,4.5,9.22,1,0.92
Maryland,322,4,4.5,9.36,1,0.92
Maryland,340,4.5,4.5,9.45,1,0.94
Cabrini,319,4.5,3.5,8.66,0,0.76
Beaver,315,4.5,3.5,8.42,0,0.72
Albany,317,3.5,3,8.28,0,0.66
Beaver,314,4.5,3.5,8.14,0,0.64
Cabrini,316,4.5,3.5,8.76,1,0.74
Albany,318,4,4,7.92,1,0.64
Beaver,299,5,3.5,7.66,0,0.38
Albany,298,4,3,8.03,0,0.34
Albany,301,3,3,7.88,1,0.44
Beaver,303,2,2.5,7.66,0,0.36
Cabrini,304,1.5,2.5,7.84,0,0.42
Albany,306,3,3,8,0,0.48
Beaver,331,4,4,8.96,1,0.86
Cabrini,332,5,4.5,9.24,1,0.9
Beaver,323,4,4,8.88,1,0.79
Beaver,322,3.5,3.5,8.46,1,0.71
Albany,312,2.5,3,8.12,0,0.64
Albany,314,4,3.5,8.25,0,0.62
Albany,317,4.5,4,8.47,0,0.57
Beaver,326,3.5,3,9.05,1,0.74
Beaver,316,4,4.5,8.78,1,0.69
Cabrini,329,4.5,4.5,9.18,1,0.87
Cabrini,338,3.5,4.5,9.46,1,0.91
Maryland,331,5,5,9.38,1,0.93
Maryland,304,5,4,8.64,0,0.68
Maryland,305,3,3,8.48,0,0.61
Cabrini,321,4,4,8.68,1,0.69
Beaver,301,3.5,3.5,8.34,1,0.62
Albany,320,4,3.5,8.56,0,0.72
Beaver,311,3.5,3,8.45,1,0.59
Cabrini,310,4.5,4.5,9.04,1,0.66
Beaver,299,4,3.5,8.62,0,0.56
Cabrini,290,2,2.5,7.46,0,0.45
Albany,296,3,3.5,7.28,0,0.47
Maryland,327,3,3.5,8.84,1,0.71
Maryland,335,5,5,9.56,1,0.94
Maryland,334,4.5,4.5,9.48,1,0.94
Cabrini,310,1.5,2.5,8.36,0,0.57
Beaver,308,3.5,3.5,8.22,0,0.61
Cabrini,301,2.5,3,8.47,0,0.57
Beaver,300,2,3,8.66,1,0.64
Beaver,323,4,3,9.32,1,0.85
Beaver,319,2.5,2,8.71,1,0.78
Beaver,326,3.5,3,9.1,1,0.84
Maryland,333,5,5,9.35,1,0.92
Maryland,339,4,4.5,9.76,1,0.96
Maryland,303,5,4.5,8.65,0,0.77
Maryland,309,3.5,3.5,8.56,0,0.71
Maryland,323,4,4.5,8.78,0,0.79
Maryland,333,4,4,9.28,1,0.89
Cabrini,314,3.5,4,8.77,1,0.82
Beaver,312,5,4,8.45,0,0.76
Albany,316,1.5,3,8.16,1,0.71
Albany,326,4.5,3,9.08,1,0.8
Alaska Methodist University,318,3.5,3.5,9.12,0,0.78
Albany,329,4,3,9.15,1,0.84
Albany,332,4.5,3.5,9.36,1,0.9
Maryland,331,4,3.5,9.44,1,0.92
Cabrini,340,4.5,4,9.92,1,0.97
Albany,325,3,3.5,8.96,1,0.8
Albany,320,2,2.5,8.64,1,0.81
Beaver,315,2,2.5,8.48,0,0.75
Beaver,326,3,3,9.11,1,0.83
Cabrini,339,4,3.5,9.8,1,0.96
Albany,311,3.5,3,8.26,1,0.79
Cabrini,334,4,4,9.43,1,0.93
Maryland,332,5,5,9.28,1,0.94
Maryland,321,5,5,9.06,1,0.86
Beaver,324,3,4,8.75,0,0.79
Beaver,326,3,3.5,8.89,0,0.8
Beaver,312,3,3,8.69,0,0.77
Beaver,315,2,2.5,8.34,0,0.7
Albany,309,2,2.5,8.26,0,0.65
Albany,306,2,2.5,8.14,0,0.61
Alaska Methodist University,297,1.5,2,7.9,0,0.52
Alaska Methodist University,315,1.5,2,7.86,0,0.57
Alaska Methodist University,298,1.5,3,7.46,0,0.53
Beaver,318,3,3,8.5,0,0.67
Beaver,317,3.5,3,8.56,0,0.68
Cabrini,329,4.5,4,9.01,1,0.81
Maryland,322,4.5,4,8.97,0,0.78
Beaver,302,3.5,5,8.33,0,0.65
Beaver,313,2,3,8.27,0,0.64
Albany,293,2,4,7.8,1,0.64
Albany,311,2.5,3,7.98,0,0.65
Albany,312,2.5,3.5,8.04,1,0.68
Maryland,334,4,4.5,9.07,1,0.89
Cabrini,322,4,5,9.13,1,0.86
Cabrini,323,4,4.5,9.23,1,0.89
Cabrini,321,4,4,8.97,1,0.87
Cabrini,320,4.5,3.5,8.87,1,0.85
Cabrini,329,4.5,4.5,9.16,1,0.9
Beaver,319,3.5,3.5,9.04,0,0.82
Beaver,309,2.5,3,8.12,0,0.72
Beaver,307,3,3,8.27,0,0.73
Beaver,300,3.5,3,8.16,0,0.71
Albany,305,2.5,2.5,8.42,0,0.71
Albany,299,3,3.5,7.88,0,0.68
Beaver,314,4,4,8.8,0,0.75
Albany,316,2.5,4,8.32,0,0.72
Cabrini,327,4.5,4.5,9.11,1,0.89
Beaver,317,3.5,3,8.68,1,0.84
Maryland,335,4.5,3.5,9.44,1,0.93
Maryland,331,4.5,3.5,9.36,1,0.93
Maryland,324,5,5,9.08,1,0.88
Maryland,324,4.5,4,9.16,1,0.9
Maryland,323,4,5,8.98,1,0.87
Maryland,322,4.5,4,8.94,1,0.86
Maryland,336,4.5,5,9.53,1,0.94
Beaver,316,3.5,3,8.76,0,0.77
Albany,307,3,3.5,8.52,1,0.78
Albany,306,3,2.5,8.26,0,0.73
Albany,310,3.5,2.5,8.33,0,0.73
Beaver,311,4.5,4.5,8.43,0,0.7
Beaver,313,4,4.5,8.69,0,0.72
Beaver,317,2.5,3,8.54,1,0.73
Albany,315,3.5,3,8.46,1,0.72
Maryland,340,4.5,4.5,9.91,1,0.97
Maryland,334,4,5,9.87,1,0.97
Beaver,298,3.5,4,8.54,0,0.69
Albany,295,2.5,3,7.65,0,0.57
Albany,315,3.5,3,7.89,0,0.63
Beaver,310,3.5,4,8.02,1,0.66
Albany,305,3,3,8.16,0,0.64
Beaver,301,3.5,4,8.12,1,0.68
Cabrini,325,4.5,4,9.06,1,0.79
Cabrini,328,5,4,9.14,1,0.82
Cabrini,338,5,5,9.66,1,0.95
Maryland,333,5,4.5,9.78,1,0.96
Cabrini,331,4.5,5,9.42,1,0.94
Maryland,330,5,4.5,9.36,1,0.93
Cabrini,322,4.5,4.5,9.26,1,0.91
Cabrini,321,4,4,9.13,1,0.85
Cabrini,324,3,3.5,8.97,1,0.84
Beaver,312,3.5,3.5,8.42,0,0.74
Beaver,313,4,4,8.75,0,0.76
Beaver,316,3.5,4,8.56,0,0.75
Cabrini,324,4.5,4,8.79,0,0.76
Albany,308,3,4,8.45,0,0.71
Albany,305,3,2,8.23,0,0.67
Albany,296,2.5,2.5,8.03,0,0.61
Albany,306,3.5,4,8.45,0,0.63
Albany,312,3.5,3,8.53,0,0.64
Beaver,318,4,3.5,8.67,0,0.71
Cabrini,324,3,3,9.01,1,0.82
Beaver,313,4,4.5,8.65,0,0.73
Beaver,319,3.5,2.5,8.33,1,0.74
Albany,312,2.5,3.5,8.27,0,0.69
Albany,304,2.5,3.5,8.07,0,0.64
Maryland,330,5,4,9.31,1,0.91
Maryland,326,4.5,4,9.23,1,0.88
Cabrini,325,4,4.5,9.17,1,0.85
Maryland,329,4.5,5,9.19,1,0.86
Beaver,310,2,3.5,8.37,0,0.7
Alaska Methodist University,299,1.5,2,7.89,0,0.59
Alaska Methodist University,296,2.5,3,7.68,0,0.6
Albany,317,2.5,2,8.15,0,0.65
Beaver,324,3.5,3,8.76,1,0.7
Beaver,325,3.5,3,9.04,1,0.76
Albany,314,2.5,4,8.56,0,0.63
Cabrini,328,4,2.5,9.02,1,0.81
Beaver,316,3,3.5,8.73,0,0.72
Albany,311,2.5,3.5,8.48,0,0.71
Beaver,324,3.5,4,8.87,1,0.8
Beaver,321,3.5,4,8.83,1,0.77
Beaver,320,3,2.5,8.57,1,0.74
Albany,316,2.5,3,9,0,0.7
Albany,318,2.5,3.5,8.54,1,0.71
Cabrini,335,4.5,4.5,9.68,1,0.93
Cabrini,321,4,5,9.12,0,0.85
Cabrini,307,4,4.5,8.37,0,0.79
Beaver,309,4,4,8.56,0,0.76
Beaver,324,4,5,8.64,1,0.78
Cabrini,326,5,5,8.76,1,0.77
Cabrini,331,5,4.5,9.34,1,0.9
Maryland,327,5,3.5,9.13,1,0.87
Beaver,312,3.5,4,8.09,0,0.71
Albany,308,2.5,4,8.36,1,0.7
Beaver,324,2.5,1.5,8.79,1,0.7
Albany,325,3,2.5,8.76,1,0.75
Beaver,313,2.5,2.5,8.68,0,0.71
Albany,312,2,2.5,8.45,0,0.72
Beaver,314,3,3.5,8.17,1,0.73
Cabrini,327,4.5,5,9.14,0,0.83
Cabrini,308,4.5,5,8.34,0,0.77
Albany,306,2.5,3,8.22,1,0.72
Albany,299,1.5,2,7.86,0,0.54
Alaska Methodist University,294,1.5,1.5,7.64,0,0.49
Alaska Methodist University,312,1,1.5,8.01,1,0.52
Alaska Methodist University,315,2,2.5,7.95,0,0.58
Beaver,322,3.5,3,8.96,1,0.78
Maryland,329,5,4.5,9.45,1,0.89
Albany,320,2.5,3,8.62,0,0.7
Albany,308,3,3.5,8.49,0,0.66
Albany,304,3,4,8.73,0,0.67
Beaver,311,4.5,4,8.64,1,0.68
Beaver,317,4,4.5,9.11,1,0.8
Beaver,312,4,3.5,8.79,1,0.81
Beaver,321,2.5,3,8.9,1,0.8
Cabrini,340,5,4.5,9.66,1,0.94
Maryland,331,4,4,9.26,1,0.93
Maryland,336,4.5,4,9.19,1,0.92
Maryland,324,5,4.5,9.08,1,0.89
Cabrini,314,5,5,9.02,0,0.82
Beaver,313,4,3.5,9,0,0.79
Albany,307,2.5,3,7.65,0,0.58
Albany,300,1.5,2,7.87,0,0.56
Albany,302,1,2,7.97,0,0.56
Alaska Methodist University,312,3.5,3,8.18,1,0.64
Albany,316,2.5,2,8.32,1,0.61
Albany,317,3,2.5,8.57,0,0.68
Beaver,310,3.5,3.5,8.67,0,0.76
Beaver,320,4,4.5,9.11,0,0.86
Beaver,330,4.5,4.5,9.24,1,0.9
Beaver,305,3,3.5,8.65,0,0.71
Albany,309,2.5,2.5,8,0,0.62
Albany,319,2.5,3,8.76,0,0.66
Albany,322,3,3,8.45,1,0.65
Beaver,323,3.5,3.5,8.55,1,0.73
Albany,313,2.5,2,8.43,0,0.62
Beaver,321,3.5,3.5,8.8,1,0.74
Beaver,323,4,3.5,9.1,1,0.79
Cabrini,325,4,4,9,1,0.8
Beaver,312,3.5,3,8.53,0,0.69
Cabrini,308,3.5,3,8.6,0,0.7
Beaver,320,3,3.5,8.74,1,0.76
Cabrini,328,4.5,4,9.18,1,0.84
Cabrini,311,4.5,4.5,9,1,0.78
Beaver,301,3.5,3,8.04,0,0.67
Albany,305,3,4,8.13,0,0.66
Albany,308,2.5,3,8.07,0,0.65
Albany,298,1.5,2,7.86,0,0.54
Alaska Methodist University,300,1,2.5,8.01,0,0.58
Beaver,324,2.5,2,8.8,1,0.79
Cabrini,327,3.5,3,8.69,1,0.8
Beaver,317,4,3.5,8.5,1,0.75
Beaver,323,4,4,8.44,1,0.73
Albany,314,2.5,4,8.27,0,0.72
Albany,305,2,2.5,8.18,0,0.62
Beaver,315,3,2.5,8.33,0,0.67
Beaver,326,3.5,4,9.14,1,0.81
Beaver,299,2,2,8.02,0,0.63
Albany,295,2.5,2,7.86,0,0.69
Cabrini,324,4,3.5,8.77,1,0.8
Albany,297,2.5,1.5,7.89,0,0.43
Beaver,327,3.5,3,8.66,1,0.8
Albany,311,3,2,8.12,1,0.73
Beaver,308,3.5,2.5,8.21,1,0.75
Beaver,319,3,3.5,8.54,1,0.71
Cabrini,312,4.5,4,8.65,1,0.73
Cabrini,325,4,4.5,9.11,1,0.83
Beaver,319,3,2.5,8.79,0,0.72
Maryland,332,5,5,9.47,1,0.94
Maryland,323,4,4,8.74,1,0.81
Maryland,324,3.5,4,8.66,1,0.81
Beaver,312,3,3,8.46,1,0.75
Beaver,326,3.5,3.5,8.76,1,0.79
Beaver,308,3,3,8.24,0,0.58
Albany,305,2.5,3.5,8.13,0,0.59
Albany,295,1.5,2,7.34,0,0.47
Alaska Methodist University,316,1.5,2,7.43,0,0.49
Albany,304,1.5,2,7.64,0,0.47
Alaska Methodist University,299,1,1,7.34,0,0.42
Alaska Methodist University,302,2,2,7.25,0,0.57
Beaver,313,2.5,3,8.04,0,0.62
Beaver,318,3,3.5,8.27,1,0.74
Cabrini,325,3.5,4,8.67,1,0.73
Albany,303,3,3.5,8.06,1,0.64
Beaver,300,3.5,2.5,8.17,0,0.63
Albany,297,2.5,3,7.67,0,0.59
Albany,317,2,3.5,8.12,0,0.73
Beaver,327,3.5,4,8.77,1,0.79
Albany,301,3.5,3.5,7.89,1,0.68
Albany,314,2.5,2,7.64,0,0.7
Albany,321,2,1.5,8.44,0,0.81
Beaver,322,4,5,8.64,1,0.85
Cabrini,334,4,3.5,9.54,1,0.93
Maryland,338,4.5,5,9.23,1,0.91
Albany,306,2.5,3,8.36,0,0.69
Beaver,313,3.5,4,8.9,1,0.77
Cabrini,330,4.5,3,9.17,1,0.86
Beaver,320,3.5,4.5,8.34,1,0.74
Alaska Methodist University,311,1,2.5,7.46,0,0.57
Alaska Methodist University,298,2,2,7.88,0,0.51
Alaska Methodist University,301,2,3,8.03,1,0.67
Albany,310,2.5,2.5,8.24,0,0.72
Beaver,324,3.5,3,9.22,1,0.89
Cabrini,336,4.5,4,9.62,1,0.95
Beaver,321,3,3,8.54,1,0.79
Albany,315,2,2.5,7.65,0,0.39
Albany,304,2,2.5,7.66,0,0.38
Albany,297,2.5,2,7.43,0,0.34
Alaska Methodist University,290,1.5,2,7.56,0,0.47
Alaska Methodist University,303,2,2.5,7.65,0,0.56
Alaska Methodist University,311,2.5,3,8.43,1,0.71
Beaver,322,3.5,4,8.84,1,0.78
Beaver,319,3,3.5,8.67,1,0.73
Cabrini,324,4.5,4,9.15,1,0.82
Beaver,300,3,3.5,8.26,0,0.62
Cabrini,340,5,5,9.74,1,0.96
Maryland,335,5,5,9.82,1,0.96
Albany,302,2.5,3.5,7.96,0,0.46
Albany,307,2,3.5,8.1,0,0.53
Albany,296,1.5,2,7.8,0,0.49
Beaver,320,3.5,4,8.44,1,0.76
Albany,314,2,2.5,8.24,0,0.64
Beaver,318,2,3,8.65,0,0.71
Cabrini,326,4,3.5,9.12,1,0.84
Albany,317,3,3,8.76,0,0.77
Cabrini,329,4.5,4,9.23,1,0.89
Beaver,324,3.5,3.5,9.04,1,0.82
Beaver,325,3,3.5,9.11,1,0.84
Cabrini,330,5,4.5,9.45,1,0.91
Beaver,312,3.5,4,8.78,0,0.67
Cabrini,333,5,4,9.66,1,0.95
Albany,304,3.5,3,8.22,0,0.63
Albany,315,3,3,8.34,0,0.66
Beaver,324,3.5,3,8.94,1,0.78
Cabrini,330,4,3.5,9.23,1,0.91
Beaver,311,2,2.5,7.64,1,0.62
Beaver,302,2.5,3,7.45,0,0.52
Cabrini,322,3,2.5,8.02,1,0.61
Beaver,298,2.5,4,7.95,1,0.58
Beaver,297,2,4,7.67,1,0.57
Alaska Methodist University,300,2,2.5,8.02,0,0.61
Alaska Methodist University,301,3,4,7.56,0,0.54
Albany,313,2.5,1.5,8.13,0,0.56
Cabrini,314,2.5,2,7.88,1,0.59
Beaver,317,3,2,7.94,1,0.49
Cabrini,321,3.5,4,8.35,1,0.72
Cabrini,327,4,4.5,8.75,1,0.76
Beaver,315,4,2.5,8.1,0,0.65
Beaver,316,3.5,2,7.68,0,0.52
Albany,309,2.5,4,8.03,0,0.6
Albany,308,2,3.5,7.98,1,0.58
Beaver,299,2,3,7.42,0,0.42
Beaver,321,3,4.5,8.95,1,0.77
Cabrini,322,3.5,2.5,9.02,1,0.73
Maryland,334,4.5,5,9.54,1,0.94
Maryland,325,4,5,9.46,1,0.91
Maryland,323,4,5,9.86,1,0.92
Beaver,312,3,5,8.57,0,0.71
Beaver,310,3.5,5,8.65,1,0.71
Albany,316,2,4.5,8.74,0,0.69
Maryland,340,5,4.5,9.06,1,0.95
Beaver,311,4,3.5,8.13,1,0.74
Albany,320,3.5,3.5,8.78,1,0.73
Cabrini,324,4.5,4,9.22,1,0.86
Cabrini,316,4,5,8.54,0,0.71
Beaver,306,3.5,3,8.21,0,0.64
Albany,309,2.5,4,7.68,0,0.55
Alaska Methodist University,310,1.5,4,7.23,1,0.58
Alaska Methodist University,317,1.5,3.5,7.65,1,0.61
Alaska Methodist University,318,2.5,3.5,8.54,1,0.67
Albany,312,1.5,3,8.46,0,0.66
Albany,305,2.5,1.5,7.79,0,0.53
Alaska Methodist University,332,1.5,3,8.66,1,0.79
Cabrini,331,4.5,4.5,9.44,1,0.92
Maryland,321,4.5,4.5,9.16,1,0.87
Maryland,324,4,5,9.25,1,0.92
Maryland,328,4.5,5,9.08,1,0.91
Cabrini,327,5,5,9.67,1,0.93
Beaver,320,3.5,5,8.97,1,0.84
Albany,312,2.5,4,9.02,0,0.8
Beaver,315,3.5,4.5,9.13,0,0.79
Cabrini,320,3,4.5,8.86,1,0.82
Cabrini,324,4.5,4.5,9.25,1,0.89
Cabrini,328,5,3.5,9.6,1,0.93
Beaver,319,2.5,4,8.76,1,0.73
Albany,310,3,3.5,8.01,0,0.71
Albany,305,1.5,2.5,7.64,0,0.59
Albany,299,2,2,7.88,0,0.51
Alaska Methodist University,295,2,1.5,7.57,0,0.37
Alaska Methodist University,312,3,3,8.53,1,0.69
Cabrini,329,4,3.5,9.36,1,0.89
Cabrini,319,4,4.5,8.66,1,0.77
Beaver,301,2.5,2,8.13,1,0.68
Cabrini,307,3,3,7.94,0,0.62
Beaver,304,3.5,3,7.86,0,0.57
Albany,298,2,3,7.21,0,0.45
Cabrini,305,3,4.5,8.26,0,0.54
Cabrini,314,3.5,4.5,8.73,1,0.71
Maryland,318,3.5,5,8.78,1,0.78
Cabrini,323,4,5,8.88,1,0.81
Cabrini,326,4,3.5,9.16,1,0.86
Maryland,320,4,4,9.27,1,0.87
Beaver,311,2,4,8.09,0,0.64
Cabrini,327,4,4.5,9.48,1,0.9
Albany,316,4,3.5,8.15,0,0.67
Cabrini,308,3,2.5,7.95,1,0.67
Beaver,300,3.5,2.5,7.88,0,0.59
Beaver,304,2.5,2,8.12,0,0.62
Cabrini,309,3.5,2,8.18,0,0.65
Beaver,318,4,4.5,8.49,1,0.71
Cabrini,325,4.5,4,8.96,1,0.79
Beaver,321,3.5,4,9.01,1,0.8
Cabrini,323,3,2.5,8.48,1,0.78
Cabrini,328,4,2.5,8.77,1,0.83
Maryland,304,5,3,7.92,0,0.71
Beaver,317,3.5,3,7.89,1,0.73
Albany,311,2.5,3.5,8.34,1,0.7
Beaver,319,2.5,2.5,8.37,0,0.68
Cabrini,327,3.5,4,9.14,0,0.79
Beaver,322,3,4,8.62,1,0.76
Beaver,302,4,4.5,8.5,0,0.65
Albany,307,2.5,4.5,8.12,1,0.67
Cabrini,297,3,3.5,7.81,0,0.54
Cabrini,298,2.5,4.5,7.69,1,0.53
Albany,300,3,1.5,8.22,1,0.62
Beaver,301,2.5,2,8.45,1,0.68
Maryland,332,4.5,4,9.02,1,0.87
Maryland,337,5,5,9.87,1,0.96
Maryland,330,4.5,5,9.56,1,0.93
Cabrini,312,4,5,8.43,0,0.73
Cabrini,327,4.5,4.5,9.04,0,0.84
